config;instance;run;solutionCosts;integerSolutionCosts;optimal;feasible;total running time;total setup costs;number of too late jobs;number of batches;solve_time;total_time;normalized_objective_bound;int_objective_bound;normalization_const_int_to_float_obj;solution_method;instance_number;objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/10_oven_scheduling.minizinc_instance_1001-12.36.14.dzn ../../instancesUC1withLB/mzn/warmstart/10_warm_start_10RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.dzn;1;0.6965333333333333;1170176;1;1;432;109;7;6;1.2048;1.8337470000000002;0.6965333333333333;1170176.0;1680000.0;mzn-gurobiWS-LB-UB;10;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/103_oven_scheduling.minizinc_instance_1001-12.41.46.dzn ../../instancesUC1withLB/mzn/warmstart/103_warm_start_103RandomOvenSchedulingInstance-n500-k2-a2--2312-08.42.31.dzn;1;-1.0;-1;-1;-1;;;;;3372.1598;;;;;mzn-gurobiWS-LB-UB;103;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/104_oven_scheduling.minizinc_instance_1001-12.41.48.dzn ../../instancesUC1withLB/mzn/warmstart/104_warm_start_104RandomOvenSchedulingInstance-n500-k2-a2--2312-08.43.18.dzn;1;0.630368253968254;198566;-1;1;1124;245;321;245;3632.8914;3871.0733999999998;0.38937777777777777;122654.0;315000.0;mzn-gurobiWS-LB-UB;104;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/117_oven_scheduling.minizinc_instance_1001-12.42.46.dzn ../../instancesUC1withLB/mzn/warmstart/117_warm_start_117RandomOvenSchedulingInstance-n500-k5-a5--2312-10.43.31.dzn;1;-1.0;-1;-1;-1;;;;;2968.3055;;;;;mzn-gurobiWS-LB-UB;117;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/119_oven_scheduling.minizinc_instance_1001-12.42.53.dzn ../../instancesUC1withLB/mzn/warmstart/119_warm_start_119RandomOvenSchedulingInstance-n500-k5-a5--2312-10.45.22.dzn;1;-1.0;-1;-1;-1;;;;;2970.6592;;;;;mzn-gurobiWS-LB-UB;119;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/15_oven_scheduling.minizinc_instance_1001-12.36.25.dzn ../../instancesUC1withLB/mzn/warmstart/15_warm_start_15RandomOvenSchedulingInstance-n10-k5-a2-WithInitialStates.dzn;1;0.5971428571428572;37620;1;1;330;100;6;5;1.921;2.715827;0.5971428571428572;37620.0;63000.0;mzn-gurobiWS-LB-UB;15;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/17_oven_scheduling.minizinc_instance_1001-12.36.29.dzn ../../instancesUC1withLB/mzn/warmstart/17_warm_start_17RandomOvenSchedulingInstance-n10-k5-a5-WithInitialStates.dzn;1;0.1367063492063492;6101095;1;1;770;85;1;10;3.5252;4.190392;0.1367063492063492;6101095.0;44629200.0;mzn-gurobiWS-LB-UB;17;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/24_oven_scheduling.minizinc_instance_1001-12.36.46.dzn ../../instancesUC1withLB/mzn/warmstart/24_warm_start_24RandomOvenSchedulingInstance-n25-k2-a2-WithInitialStates.dzn;1;0.7863809523809524;297252;-1;1;659;168;20;12;3608.6294;3609.488915;0.6741733290661376;254837.518387;378000.0;mzn-gurobiWS-LB-UB;24;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/33_oven_scheduling.minizinc_instance_1001-12.37.16.dzn ../../instancesUC1withLB/mzn/warmstart/33_warm_start_33RandomOvenSchedulingInstance-n25-k5-a2-WithInitialStates.dzn;1;0.2990188679245283;1456035;-1;1;900;85;7;17;3609.2312;3611.0783800000004;0.21127016794557824;1028753.67404;4869375.0;mzn-gurobiWS-LB-UB;33;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/65_oven_scheduling.minizinc_instance_1001-12.39.13.dzn ../../instancesUC1withLB/mzn/warmstart/65_warm_start_65RandomOvenSchedulingInstance-n100-k2-a2-WithInitialStates.dzn;1;0.8558683187560738;243070026;-1;1;3018;966;87;62;3608.2214;3617.4927199999997;0.49189795918367346;139700988.0;284004000.0;mzn-gurobiWS-LB-UB;65;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/71_oven_scheduling.minizinc_instance_1001-12.39.30.dzn ../../instancesUC1withLB/mzn/warmstart/71_warm_start_71RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.dzn;1;0.9635873015873015;60706;-1;1;161;31;100;27;3610.9663;3635.5705000000003;0.9586349206349206;60394.0;63000.0;mzn-gurobiWS-LB-UB;71;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/73_oven_scheduling.minizinc_instance_1001-12.39.38.dzn ../../instancesUC1withLB/mzn/warmstart/73_warm_start_73RandomOvenSchedulingInstance-n100-k5-a2-WithInitialStates.dzn;1;0.5343492063492064;33664;-1;1;364;204;53;68;3610.7436;3634.2774;0.4915555555555556;30968.0;63000.0;mzn-gurobiWS-LB-UB;73;combined objective
~/minizinc-executables/mzn-gurobi.sh $file ~/oven-scheduling-problem/solution-methods/minizinc-models/withLowerBounds/direct-batch-pos-warmstart-default.mzn $1 -d $2 --time-limit 3600000 -v;../../instancesUC1withLB/mzn/82_oven_scheduling.minizinc_instance_1001-12.40.24.dzn ../../instancesUC1withLB/mzn/warmstart/82_warm_start_82RandomOvenSchedulingInstance-n250-k2-a2--2212-22.44.15.dzn;1;-1.0;-1;-1;-1;;;;;3556.9519;;;;;mzn-gurobiWS-LB-UB;82;combined objective
~/opl-executable/opl.sh ~/oven-scheduling-problem/solution-methods/cp-optimizer-models/withLB/interval-repr-jobs-warmstart.mod $file;../../instancesUC1withLB/opl/warmstartDataOplDec24/10_warm_start_10RandomOvenSchedulingInstance-n10-k2-a5-WithInitialStates.dat;1;0.6965333333333333;1170176;1;1;432;109;7;6;0.79;0.82;0.6965333333333333;1170176.0;1680000.0;opl-reprjob-LB-WS-UB;10;combined objective
